title,author_name,url,num_upvotes,page_number
Leaderboard Confidence Update,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/530444,5,1
Get started here!,Addison Howard,https://www.kaggle.com/competitions/llm-20-questions/discussion/503040,13,1
This Competition has an Official Discord Channel,Myles O'Neill,https://www.kaggle.com/competitions/llm-20-questions/discussion/503054,9,1
1st Place Solution,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/531106,58,1
Animation of Gold Medal Winners,Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/531062,36,1
3rd place solution,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/531387,12,1
How would you rate this competition?,gaolicious,https://www.kaggle.com/competitions/llm-20-questions/discussion/530968,17,1
[21st]: Back to basics,Joonas Maanonen,https://www.kaggle.com/competitions/llm-20-questions/discussion/531104,12,1
65th place solution - fine-tuning/knowledge distillation approach,Kirill Yakunin,https://www.kaggle.com/competitions/llm-20-questions/discussion/531121,8,1
5th Place Solution,yukky_maru,https://www.kaggle.com/competitions/llm-20-questions/discussion/531128,10,1
108th place Full LLM Solution,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/530999,15,1
611th place full-llm solution... I've seen better days,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/531077,11,1
52th place solution - Prompt control system,torino,https://www.kaggle.com/competitions/llm-20-questions/discussion/531037,14,1
58th Solution - Simple Rephrase Agent,kei hasegawa,https://www.kaggle.com/competitions/llm-20-questions/discussion/531183,7,1
[26th] - 3rd (?) in non-Alpha group,Azat Akhtyamov,https://www.kaggle.com/competitions/llm-20-questions/discussion/531081,6,1
"[20th] A simple solution, attempts and thinking.",KKY,https://www.kaggle.com/competitions/llm-20-questions/discussion/531083,8,1
Alpha performance metric analysis,Andrew Tratz,https://www.kaggle.com/competitions/llm-20-questions/discussion/530312,13,1
45th place - Not bad as for first competition :),VolodymyrBilyachat,https://www.kaggle.com/competitions/llm-20-questions/discussion/530996,9,1
11th place solution (majimekun),NIWATORI,https://www.kaggle.com/competitions/llm-20-questions/discussion/529931,24,1
Exploring Non-Alpha Agent Strategies,Magsen Chebini,https://www.kaggle.com/competitions/llm-20-questions/discussion/530889,7,1
All Solutions in One Place,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/530995,5,2
The ranking in other stats,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/529683,22,2
LLM performance metric analysis,Andrew Tratz,https://www.kaggle.com/competitions/llm-20-questions/discussion/530442,12,2
181th place solution - LLM only with Llama3.1,Azzoug Aghiles,https://www.kaggle.com/competitions/llm-20-questions/discussion/531047,6,2
Only One Day Left in the LLM Agent Competition - Wishing You the Best Results!,hoon0303,https://www.kaggle.com/competitions/llm-20-questions/discussion/530840,6,2
9th Place Solution - LLM 20 Questions,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/529525,28,2
'Location' still exists in the keywords,Ariocx,https://www.kaggle.com/competitions/llm-20-questions/discussion/530867,5,2
Those in top-5 position might want to buy some anti-stress,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/530931,5,2
Rankings vs Scores,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/530735,4,2
2nd Place Solution for the LLM 20 Questions Competition,Andrew Tratz,https://www.kaggle.com/competitions/llm-20-questions/discussion/529643,25,2
"We're allowed to share our solutions, right?",c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/529493,14,2
English Specific Questions in Prize winning Bots,C R Suthikshn Kumar,https://www.kaggle.com/competitions/llm-20-questions/discussion/531036,2,2
There is no safe place on the leaderboard!,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/530066,8,2
Leaderboard Confidence Reset,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/529606,20,2
The final play,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/530217,7,2
How To View Both Your Private LB Submission Scores,Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/528087,35,2
A stupid proposal,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/530756,0,2
Leaderboard reset and new keywords,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/527853,33,2
At exactly what time the competition will end?,Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/530638,1,2
A few running stats,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/528479,13,2
Suggestion for leaderboard: everyday 'bad' agents elimination,Dmitry Leontyev,https://www.kaggle.com/competitions/llm-20-questions/discussion/530950,-4,3
7.7% of Private LB Keywords are Duplicates of Public LB Keywords,Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/529115,42,3
Interesting replays,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/529960,2,3
Can match frequencies be raised in the last 24h?,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/530288,1,3
Why Do NaN Occur in LLM Agent Competitions?,hoon0303,https://www.kaggle.com/competitions/llm-20-questions/discussion/529706,2,3
Crowdsourcing Variance in LB score,Raki,https://www.kaggle.com/competitions/llm-20-questions/discussion/529600,3,3
Unofficial self-play benchmark,Andrew Tratz,https://www.kaggle.com/competitions/llm-20-questions/discussion/528488,10,3
"The infamous pit of non-wisdom, why and how",loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/529474,4,3
"Check top-teams, they use ""does the keyword precede ""..."" in alphabetical order""",JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528508,4,3
Biasness in Game Play 😏,Kuldeep Rathore,https://www.kaggle.com/competitions/llm-20-questions/discussion/529649,2,3
The ranking algorithm in the spotlight,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/529002,6,3
"The ranking algorithm, explanations welcome",loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/528308,6,3
